t,i,s,r
8.799999999999985,328.8044517159506,220.23881509775507,450.9567331862939
8.899999999999984,326.074224346282,213.14424766495014,460.78152798876744
8.999999999999984,323.1420535415074,206.3366738724453,470.5212725860469
9.099999999999984,320.0228517583507,199.8070138886763,480.1701343529725
9.199999999999983,316.7312195362789,193.54605662570992,489.7227238380108
9.299999999999983,313.2813895557092,187.54452595115532,499.17408449313507
9.399999999999983,309.6871799458496,181.79313918510343,508.51968086904657
9.499999999999982,305.9619561624856,176.282658294156,517.755385543358
9.599999999999982,302.11860072925134,171.00393424233496,526.8774650284132
9.699999999999982,298.16949012742595,165.94794498861222,535.8825648839613
9.799999999999981,294.12647812577273,161.10582763578256,544.7676942384442
9.89999999999998,290.0008848603495,156.4689052380571,553.5302099015928
9.99999999999998,285.8034910018292,152.02870876749586,562.1678002306744
10.09999999999998,281.54453638228324,147.77699472439036,570.6784688933259
10.19999999999998,277.23372249252526,143.7057588558504,579.0605186516239
10.29999999999998,272.8802183032316,139.80724642178313,587.3125352749848
10.399999999999979,268.4926689067049,136.07395941956338,595.4333716737312
10.499999999999979,264.0792065201374,132.49866114913786,603.4221323307243
10.599999999999978,259.64746343463145,129.07437847002188,611.2781580953462
10.699999999999978,255.20458653632738,125.79440207138637,619.0010113922857
10.799999999999978,250.75725306622925,122.6522850467822,626.590461886988
10.899999999999977,246.31168732333657,119.64184003644688,634.046472640216
10.999999999999977,241.87367805122952,116.75713517290856,641.3691867758614
11.099999999999977,237.44859628117814,113.99248903996163,648.5589146788598
11.199999999999976,233.04141343509295,111.3424648311743,655.6161217337323
11.299999999999976,228.6567195192198,108.80186387197107,662.5414166088086
11.399999999999975,224.29874126446452,106.36571864902756,669.3355400865074
11.499999999999975,219.97136009171706,104.02928547220009,675.9993544360824
11.599999999999975,215.67812980065452,101.78803687743036,682.5338333219147
11.699999999999974,211.42229389838866,99.63765386394216,688.9400522376687
11.799999999999974,207.20680250013692,97.57401804548867,695.219179454374
11.899999999999974,203.03432874800222,95.59320378331489,701.3724674686824
11.999999999999973,198.9072847061066,93.69147035776254,707.4012449361304
12.099999999999973,194.8278367008932,91.865254225957,713.3069090731493
12.199999999999973,190.79792008454666,90.11116140466889,719.0909185107839
12.299999999999972,186.81925340732505,88.42596001013354,724.7547865825409
12.399999999999972,182.89335199128632,86.80657298023942,730.3000750284737
12.499999999999972,179.02154090355535,85.25007099896703,735.728388097477
12.599999999999971,175.20496733202913,83.75366563818463,741.0413670297856
12.69999999999997,171.44461237036933,82.31470272780487,746.2406849018253
12.79999999999997,167.74130222237696,80.9306559618005,751.328041815822
12.89999999999997,164.09571883847585,79.59912074459925,756.3051604169243
12.99999999999997,160.50840999912637,78.31780827986552,761.1737817210075
13.09999999999997,156.97979886162418,77.08453990157109,765.9356612368041
13.199999999999969,153.51019298797067,75.89724164550998,770.5925653665187
13.299999999999969,150.09979287239292,74.7539390579748,775.1462680696316
13.399999999999968,146.74869998768887,73.65275223714617,779.5985477751643
13.499999999999968,143.45692436992448,72.59189110181238,783.9511845282625
13.599999999999968,140.22439176115273,71.56965088130536,788.2059573575413
13.699999999999967,137.0509503297922,70.58440781997875,792.3646418502284
13.799999999999967,133.93637698812836,69.63461508914193,796.429007922729
13.899999999999967,130.88038332610705,68.71879889907704,800.4008177748152
13.999999999999966,127.88262118020052,67.83555480358469,804.2818240162142
14.099999999999966,124.9426878556621,66.98354418941193,808.0737679549253
14.199999999999966,122.06013101996139,66.16149094289814,811.7783780371398
14.299999999999965,119.23445328462275,65.36817828621747,815.3973684291591
14.399999999999965,116.46511649208873,64.60244577569063,818.9324377322199
14.499999999999964,113.75154572360613,63.86318645477259,822.3852678216206
14.599999999999964,111.09313304349493,63.14934415449012,825.7575228020143
14.699999999999964,108.48924099451695,62.45991093429518,829.0508480711871
14.799999999999963,105.93920585841738,61.793924656512004,832.26686948507
14.899999999999963,103.44234069507348,61.15046668778219,835.4071926171437
14.999999999999963,100.99793817305506,60.52865972114802,838.4734021057963
15.099999999999962,98.60527320378388,59.927665712657095,841.4670610835584
15.199999999999962,96.26360539087662,59.34668392661745,844.3897106825053
15.299999999999962,93.97218130567053,58.78494908387898,847.2428696104499
15.399999999999961,91.73023659936405,58.24172960776287,850.0280337928725
15.499999999999961,89.5369979616571,57.71632596250331,852.746676075839
15.59999999999996,87.39168493524926,57.20806907930409,855.4002459854461
15.69999999999996,85.29351159504789,56.71631886534574,857.9901695396057
15.79999999999996,83.24168810045326,56.240462791305546,860.5178491082405
15.89999999999996,81.23542212862455,55.77991455317241,862.9846633182024
15.99999999999996,79.27392019618743,55.334112804351136,865.3919669994608
16.09999999999996,77.35638887642226,54.902519954255105,867.741091169322
16.19999999999996,75.48203591856999,54.484621029783284,870.033343051646
16.29999999999996,73.65007127551122,54.07992259626594,872.2700061282221
16.399999999999963,71.85970804571095,53.68795173464417,874.4523402196442
16.499999999999964,70.1101633349776,53.30825507182092,876.5815815932008
16.599999999999966,68.40065904325898,52.94039786128567,878.6589430954547
16.699999999999967,66.73042258138872,52.583963111272034,880.6856143073386
16.79999999999997,65.09868752240487,52.23855075785672,882.6627617197378
16.89999999999997,63.50469419178593,51.903776880549984,884.5915289276635
16.99999999999997,61.947690200688555,51.57927295806279,886.473036841248
17.099999999999973,60.42693092602459,51.26468516206343,888.3083839119114
17.199999999999974,58.941679940982446,50.9596736868577,890.0986463721592
17.299999999999976,57.491209399378285,50.663912113041306,891.8448784875798
17.399999999999977,56.0748003770154,50.37708680328214,893.5481128197018
17.49999999999998,54.69174317303507,50.09889632849256,895.2093604984717
